pitch,roll,yaw,accelX,accelY,accelZ,latitude,longitude,altitude,GPS_fix
-2465.6,-63.37,-128.67,1399.92,-4164.22,-8139.09,0,0,0,0
-2138.6,-398.37,-228.67,1777.92,-2837.22,-10640.09,0,0,0,0
-1779.6,-85.37,12.33,1689.92,-901.22,-11516.09,0,0,0,0
-1230.6,171.63,-19.67,1305.92,397.78,-12271.09,0,0,0,0
-935.6,156.63,-148.67,1612.92,1256.78,-12763.09,0,0,0,0
-489.6,-111.37,-273.67,1713.92,1416.78,-12433.09,0,0,0,0
-496.6,-92.37,-213.67,1724.92,1124.78,-12103.09,0,0,0,0
-475.6,-72.37,-314.67,1622.92,479.78,-12794.09,0,0,0,0
399.4,1867.63,-3544.67,2010.92,4209.78,-9961.09,0,0,0,0
-845.6,-945.37,3371.33,2421.92,-3296.22,-13842.09,0,0,0,0
513.4,1104.63,-1859.67,3539.92,10193.78,-11495.09,0.0,0.0,-1.7,0.0
-984.6,1176.63,-1571.67,3128.92,-9344.22,-10086.09,0,0,0,0
-1379.6,-1816.37,2159.33,2239.92,10502.78,-10666.09,0,0,0,0
-638.6,475.63,-1898.67,2571.92,-8300.22,-12365.09,0,0,0,0
-1544.6,-787.37,1318.33,2816.92,12277.78,-9990.09,0.0,0.0,-1.7,0.0
-922.6,180.63,-1967.67,2392.92,-7072.22,-11956.09,0,0,0,0
-1021.6,-360.37,713.33,2549.92,12284.78,-9543.09,0,0,0,0
-735.6,216.63,-814.67,1869.92,-10138.22,-13466.09,0,0,0,0
-835.6,-190.37,-567.67,2894.92,13462.78,-11965.09,0,0,0,0
-463.6,-261.37,2001.33,1447.92,-6940.22,-11024.09,0,0,0,0
-950.6,1308.63,-4084.67,1624.92,9670.78,-11010.09,0,0,0,0
-579.6,-1099.37,4069.33,2136.92,-3141.22,-10948.09,0,0,0,0
-448.6,1807.63,-5244.67,-1189.08,1564.78,-11494.09,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-411.6,-1086.37,3775.33,1296.92,-2818.22,-12831.09,0,0,0,0
-933.6,1310.63,-4660.67,287.92,3989.78,-10782.09,0,0,0,0
-156.6,-293.37,773.33,3134.92,-25.22,-12289.09,0,0,0,0
-729.6,41.63,-625.67,2968.92,3070.78,-12470.09,0,0,0,0
-444.6,-157.37,-233.67,3123.92,2290.78,-12019.09,0,0,0,0
-621.6,-75.37,-236.67,3308.92,2522.78,-11794.09,0,0,0,0
-554.6,-38.37,-346.67,3000.92,2335.78,-12081.09,0,0,0,0
-552.6,-62.37,-323.67,3208.92,2773.78,-11817.09,0.0,0.0,-1.7,0.0
-582.6,-21.37,-301.67,3146.92,2529.78,-11928.09,0,0,0,0
-510.6,-5.37,-340.67,3228.92,2473.78,-12042.09,0,0,0,0
-527.6,-19.37,-306.67,3160.92,2482.78,-11980.09,0,0,0,0
-580.6,-62.37,-300.67,3279.92,2662.78,-11956.09,0.0,0.0,-1.7,0.0
-593.6,-4.37,-292.67,3337.92,2352.78,-11885.09,0,0,0,0
-568.6,-20.37,-300.67,3334.92,2632.78,-11864.09,0,0,0,0
-527.6,-32.37,-313.67,3421.92,2552.78,-11947.09,0,0,0,0
-425.6,205.63,-320.67,3829.92,2458.78,-11921.09,0.0,0.0,-1.7,0.0
-180.6,596.63,-372.67,4281.92,2229.78,-11598.09,0,0,0,0
-515.6,449.63,-355.67,5112.92,1797.78,-11099.09,0,0,0,0
-199.6,954.63,-302.67,5837.92,2061.78,-10958.09,0,0,0,0
-18.6,1358.63,-247.67,6840.92,1345.78,-8923.09,0,0,0,0
-224.6,1332.63,-241.67,7999.92,1482.78,-7354.09,0,0,0,0
-269.6,1107.63,-139.67,8469.92,672.78,-5753.09,0,0,0,0
-653.6,1068.63,-458.67,8902.92,1087.78,-4702.09,0.0,0.0,-1.7,0.0
-695.6,674.63,-190.67,8514.92,804.78,-3414.09,0,0,0,0
-858.6,772.63,-140.67,8515.92,82.78,-1751.09,0,0,0,0
-966.6,564.63,-149.67,8542.92,-110.22,-2034.09,0,0,0,0
-1455.6,561.63,-408.67,7896.92,1102.78,-1541.09,0.0,0.0,-1.7,0.0
-1201.6,499.63,-359.67,7012.92,-662.22,-91.09,0,0,0,0
-581.6,147.63,-415.67,6992.92,-714.22,5.91,0,0,0,0
-318.6,-229.37,-502.67,7780.92,342.78,-175.09,0,0,0,0
-504.6,-222.37,-306.67,7498.92,-647.22,-162.09,0,0,0,0
-919.6,-1149.37,-326.67,8096.92,-279.22,-833.09,0,0,0,0
-1245.6,-3884.37,-364.67,6851.92,-95.22,-2708.09,0,0,0,0
-60.6,-2391.37,-385.67,7022.92,-1210.22,-7008.09,0,0,0,0
281.4,-2434.37,-315.67,5668.92,-549.22,-8933.09,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-537.6,-592.37,-278.67,1935.92,-1855.22,-12068.09,0,0,0,0
-508.6,-188.37,-428.67,1579.92,-2158.22,-11304.09,0,0,0,0
-664.6,24.63,-681.67,1782.92,-1610.22,-11564.09,0,0,0,0
-715.6,190.63,-513.67,2290.92,-1405.22,-11167.09,0,0,0,0
-261.6,-1.37,-500.67,2517.92,-1616.22,-11136.09,0,0,0,0
-151.6,397.63,-791.67,3058.92,-2185.22,-10633.09,0,0,0,0
-563.6,155.63,-464.67,3615.92,-2223.22,-10514.09,0,0,0,0
-530.6,-120.37,-376.67,3812.92,-1901.22,-10547.09,0,0,0,0
-565.6,117.63,-484.67,3977.92,-1796.22,-10039.09,0,0,0,0
-112.6,240.63,-478.67,4096.92,-1764.22,-9994.09,0,0,0,0
-385.6,59.63,-277.67,4266.92,-2347.22,-9444.09,0,0,0,0
-260.6,-549.37,-466.67,3780.92,-2655.22,-9998.09,0,0,0,0
-821.6,-235.37,-436.67,3548.92,-2260.22,-10026.09,0,0,0,0
-741.6,-166.37,-503.67,3740.92,-1586.22,-10734.09,0,0,0,0
-567.6,-93.37,-769.67,3946.92,-2496.22,-10584.09,0,0,0,0
349.4,369.63,-702.67,4328.92,-805.22,-9515.09,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1078.4,847.63,-58.67,4858.92,-2901.22,-7741.09,0,0,0,0
1870.4,1083.63,343.33,4858.92,-3601.22,-5616.09,0,0,0,0
3722.4,2066.63,1308.33,3024.92,-4286.22,-392.09,0,0,0,0
1599.4,386.63,671.33,1377.92,-4216.22,2924.91,0,0,0,0
1563.4,176.63,588.33,1105.92,-1644.22,3449.91,0,0,0,0
7.4,-102.37,-139.67,334.92,460.78,4404.91,0,0,0,0
-722.6,-93.37,-347.67,396.92,549.78,4501.91,0,0,0,0
-8124.6,-2074.37,-2393.67,544.92,-3264.22,4809.91,0,0,0,0
-4534.6,-172.37,341.33,4201.92,-3558.22,-9961.09,0,0,0,0
-1003.6,238.63,-271.67,3327.92,-1850.22,-11019.09,0,0,0,0
-525.6,273.63,-389.67,3543.92,-1679.22,-10842.09,0,0,0,0
-402.6,-119.37,-333.67,3723.92,-1926.22,-10344.09,0,0,0,0
-575.6,6.63,-218.67,3816.92,-1966.22,-10446.09,0,0,0,0
-634.6,63.63,-240.67,3862.92,-1851.22,-10251.09,0,0,0,0
-485.6,-41.37,-246.67,3830.92,-1762.22,-10617.09,0.0,0.0,-1.7,0.0
-896.6,13.63,550.33,3725.92,-2504.22,-10209.09,0,0,0,0
-692.6,-224.37,-6.67,3357.92,-2138.22,-10786.09,0,0,0,0
-532.6,-71.37,-247.67,3260.92,-1997.22,-10582.09,0,0,0,0
-559.6,-160.37,-163.67,3151.92,-1475.22,-10733.09,0,0,0,0
-632.6,-150.37,-348.67,2855.92,-1811.22,-10677.09,0,0,0,0
-627.6,-205.37,-101.67,2784.92,-1704.22,-10729.09,0,0,0,0
-582.6,-73.37,-136.67,2403.92,-2128.22,-10993.09,0,0,0,0
-554.6,-87.37,-271.67,2382.92,-1862.22,-10938.09,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-539.6,-176.37,-217.67,2187.92,-1716.22,-11064.09,0,0,0,0
-649.6,157.63,-250.67,2470.92,-1726.22,-10894.09,0,0,0,0
-561.6,-23.37,-343.67,2482.92,-1656.22,-11132.09,0,0,0,0
1282.4,883.63,-1720.67,3075.92,-2535.22,-8676.09,0,0,0,0
5101.4,-436.37,1137.33,3808.92,-6582.22,-8259.09,0,0,0,0
2274.4,-176.37,1389.33,1100.92,-5244.22,-355.09,0,0,0,0
1323.4,-21.37,715.33,623.92,-3875.22,1009.91,0,0,0,0
1489.4,312.63,-49.67,-1412.08,-1271.22,4461.91,0.0,0.0,-1.7,0.0
199.4,-105.37,-365.67,-779.08,-118.22,4012.91,0,0,0,0
454.4,-148.37,-231.67,-748.08,954.78,4337.91,0,0,0,0
-10.6,181.63,-249.67,-690.08,1610.78,4935.91,0,0,0,0
-274.6,-101.37,-209.67,-586.08,2336.78,4317.91,0,0,0,0
-561.6,-58.37,-291.67,-585.08,2309.78,4272.91,0,0,0,0
-500.6,14.63,-249.67,-552.08,2368.78,4039.91,0,0,0,0
-565.6,87.63,-351.67,-1014.08,2256.78,4250.91,0,0,0,0
-558.6,130.63,-329.67,-992.08,1612.78,4634.91,0,0,0,0
-771.6,-811.37,303.33,-2600.08,4329.78,5755.91,0,0,0,0
-1129.6,65.63,-491.67,908.92,316.78,998.91,0,0,0,0
-875.6,-1790.37,836.33,672.92,-1112.22,1744.91,0,0,0,0
-140.6,2162.63,-1243.67,-3689.08,7621.78,13773.91,0.0,0.0,-1.7,0.0
-988.6,-285.37,-552.67,3025.92,-4086.22,-1041.09,0,0,0,0
-1058.6,-1306.37,-41.67,-2883.08,4982.78,8815.91,0,0,0,0
-993.6,38.63,-566.67,3246.92,-3135.22,-2870.09,0,0,0,0
-687.6,-1353.37,570.33,-1931.08,1368.78,8464.91,0.0,0.0,-1.7,0.0
-358.6,1965.63,-872.67,-1124.08,2200.78,6949.91,0,0,0,0
-723.6,-1164.37,102.33,2333.92,-4483.22,-2141.09,0,0,0,0
-823.6,-178.37,-319.67,-2718.08,3273.78,10543.91,0,0,0,0
-649.6,94.63,-272.67,2390.92,-3921.22,-783.09,0,0,0,0
-897.6,-1113.37,-62.67,-2009.08,1325.78,6822.91,0,0,0,0
-864.6,324.63,-695.67,1905.92,-2050.22,-1165.09,0,0,0,0
-102.6,-1083.37,160.33,-560.08,-183.22,3941.91,0,0,0,0
-257.6,2042.63,-1146.67,-1586.08,3193.78,7073.91,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-522.6,560.63,-1276.67,1083.92,-1194.22,-609.09,0,0,0,0
-403.6,-1405.37,911.33,-895.08,667.78,4686.91,0,0,0,0
-409.6,1042.63,-1041.67,-213.08,-286.22,1156.91,0,0,0,0
-742.6,-542.37,-314.67,900.92,-2753.22,2890.91,0,0,0,0
-678.6,-80.37,-350.67,478.92,391.78,4037.91,0,0,0,0
-475.6,-191.37,-417.67,521.92,-846.22,4050.91,0,0,0,0
-274.6,-8.37,-1298.67,783.92,-1962.22,4430.91,0,0,0,0
928.4,-428.37,-1450.67,2329.92,1607.78,3153.91,0.0,0.0,-1.7,0.0
726.4,-22.37,-629.67,2201.92,2909.78,4023.91,0,0,0,0
-127.6,-173.37,-671.67,2434.92,4923.78,3392.91,0,0,0,0
-216.6,14.63,-375.67,2111.92,4951.78,3669.91,0,0,0,0
-380.6,-50.37,-233.67,2213.92,4984.78,3617.91,0,0,0,0
-562.6,-96.37,-302.67,2207.92,5063.78,3759.91,0,0,0,0
-464.6,-99.37,-284.67,2187.92,5344.78,3584.91,0,0,0,0
-421.6,-239.37,-82.67,2220.92,5206.78,3601.91,0.0,0.0,-1.7,0.0
-966.6,-391.37,-148.67,2539.92,5508.78,3827.91,0,0,0,0
-2401.6,-766.37,-1133.67,3402.92,3022.78,3939.91,0,0,0,0
-672.6,-252.37,205.33,4139.92,1552.78,1929.91,0,0,0,0
-1613.6,796.63,106.33,4217.92,-2940.22,4917.91,0,0,0,0
-2445.6,-536.37,619.33,2898.92,-2430.22,1854.91,0,0,0,0
-1827.6,1131.63,-399.67,2778.92,-4234.22,738.91,0,0,0,0
-1104.6,266.63,-255.67,1199.92,-4954.22,536.91,0,0,0,0
-1304.6,338.63,-197.67,876.92,-4446.22,267.91,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-70.6,-282.37,-517.67,2065.92,-4535.22,-607.09,0,0,0,0
711.4,-2109.37,-339.67,2694.92,-4194.22,645.91,0,0,0,0
96.4,-442.37,-726.67,3120.92,-3782.22,940.91,0,0,0,0
-796.6,-146.37,-229.67,3298.92,-3972.22,657.91,0,0,0,0
-695.6,103.63,-254.67,3254.92,-4235.22,379.91,0,0,0,0
-1010.6,-11.37,-235.67,3166.92,-4462.22,-28.09,0,0,0,0
-384.6,507.63,-578.67,2966.92,-4462.22,-111.09,0,0,0,0
-293.6,120.63,-252.67,2997.92,-4618.22,543.91,0.0,0.0,-1.7,0.0
-308.6,-51.37,-221.67,2871.92,-4316.22,1054.91,0,0,0,0
-500.6,130.63,-261.67,2918.92,-3916.22,481.91,0,0,0,0
410.4,-134.37,-125.67,2657.92,-4173.22,776.91,0,0,0,0
-262.6,-37.37,-325.67,2812.92,-3440.22,1639.91,0.0,0.0,-1.7,0.0
-424.6,-166.37,-302.67,2917.92,-3254.22,1782.91,0,0,0,0
-504.6,-261.37,-287.67,2856.92,-2981.22,1919.91,0,0,0,0
-533.6,-88.37,-280.67,2961.92,-3189.22,1815.91,0,0,0,0
-712.6,-158.37,-251.67,3056.92,-3318.22,1730.91,0,0,0,0
-520.6,-115.37,-339.67,3052.92,-3472.22,1741.91,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-4.97,-2.73,0.19,-30.98,-19.9,4051.75,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-1.97,-1.73,0.19,8.02,23.1,4078.75,0,0,0,0
16.03,0.27,-0.81,37.02,0.1,4144.75,0,0,0,0
-19.97,-0.73,1.19,-13.98,-6.9,4053.75,0,0,0,0
-21.97,-4.73,0.19,-9.98,-43.9,4035.75,0.0,0.0,-1.7,0.0
1.03,0.27,0.19,29.02,-1.9,4113.75,0,0,0,0
2.03,1.27,1.19,12.02,8.1,4070.75,0,0,0,0
2.03,-1.73,0.19,15.02,14.1,4107.75,0,0,0,0
-3.97,-1.73,0.19,-1.98,-2.9,4063.75,0,0,0,0
1.03,1.27,-0.81,-15.98,12.1,4074.75,0,0,0,0
5.03,-1.73,-0.81,-16.98,71.1,4102.75,0,0,0,0
3.03,-1.73,-0.81,9.02,49.1,4106.75,0.0,0.0,-1.7,0.0
3.03,-0.73,-0.81,26.02,26.1,4112.75,0,0,0,0
-2.97,-0.73,0.19,10.02,12.1,4101.75,0,0,0,0
2.03,-0.73,0.19,-7.98,-8.9,4108.75,0,0,0,0
5.03,-0.73,-0.81,35.02,15.1,4112.75,0,0,0,0
-9.97,-0.73,1.19,-1.98,2.1,4073.75,0,0,0,0
3.03,0.27,0.19,-2.98,19.1,4073.75,0,0,0,0
-1.97,-1.73,0.19,7.02,49.1,4081.75,0,0,0,0
0.03,-0.73,-0.81,-5.98,22.1,4103.75,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1.03,0.27,0.19,5.02,22.1,4094.75,0,0,0,0
-1.97,-1.73,1.19,6.02,36.1,4073.75,0,0,0,0
-1.97,0.27,0.19,9.02,41.1,4096.75,0,0,0,0
-2.97,0.27,0.19,14.02,19.1,4082.75,0,0,0,0
1.03,-1.73,0.19,7.02,18.1,4108.75,0,0,0,0
2.03,0.27,-0.81,21.02,11.1,4113.75,0,0,0,0
-0.97,-0.73,0.19,25.02,39.1,4096.75,0,0,0,0
1.03,-0.73,0.19,19.02,25.1,4096.75,0,0,0,0
0.03,-0.73,-0.81,9.02,37.1,4111.75,0,0,0,0
1.03,0.27,0.19,18.02,39.1,4082.75,0,0,0,0
-2.97,-1.73,0.19,17.02,36.1,4081.75,0,0,0,0
1.03,-0.73,0.19,16.02,30.1,4101.75,0,0,0,0
1.03,-0.73,-0.81,17.02,39.1,4085.75,0,0,0,0
0.03,0.27,0.19,14.02,15.1,4105.75,0,0,0,0
0.03,0.27,-0.81,41.02,42.1,4080.75,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-0.97,0.27,0.19,18.02,35.1,4071.75,0,0,0,0
-0.97,-0.73,0.19,19.02,58.1,4095.75,0,0,0,0
-0.97,-0.73,0.19,28.02,43.1,4097.75,0,0,0,0
-1.97,-0.73,0.19,15.02,35.1,4088.75,0,0,0,0
-0.97,-0.73,0.19,25.02,38.1,4087.75,0,0,0,0
-0.97,-0.73,0.19,15.02,47.1,4090.75,0,0,0,0
0.03,-0.73,0.19,8.02,26.1,4091.75,0.0,0.0,-1.7,0.0
-0.97,-0.73,0.19,13.02,44.1,4084.75,0,0,0,0
-0.97,-0.73,0.19,31.02,40.1,4069.75,0,0,0,0
3.03,0.27,0.19,30.02,54.1,4112.75,0,0,0,0
0.03,0.27,1.19,22.02,41.1,4106.75,0,0,0,0
1.03,0.27,1.19,15.02,46.1,4120.75,0,0,0,0
-0.97,0.27,0.19,68.02,72.1,4085.75,0,0,0,0
4.03,1.27,-0.81,16.02,72.1,4086.75,0,0,0,0
14.03,2.27,-4.81,33.02,25.1,4117.75,0,0,0,0
4.03,1.27,1.19,43.02,-49.9,4158.75,0,0,0,0
-7.97,-1.73,1.19,22.02,-38.9,4051.75,0,0,0,0
-8.97,0.27,3.19,-2.98,-43.9,4104.75,0,0,0,0
-0.97,0.27,1.19,-1.98,-10.9,4105.75,0,0,0,0
-6.97,1.27,3.19,-5.98,-16.9,4091.75,0,0,0,0
-2.97,-1.73,1.19,-4.98,-36.9,4055.75,0,0,0,0
1.03,-1.73,-0.81,24.02,-54.9,4101.75,0,0,0,0
1.03,-1.73,-0.81,32.02,-33.9,4088.75,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2.03,-0.73,0.19,25.02,-6.9,4077.75,0,0,0,0
4.03,-0.73,0.19,-2.98,-1.9,4076.75,0,0,0,0
0.03,-0.73,0.19,12.02,-0.9,4043.75,0,0,0,0
1.03,-1.73,0.19,16.02,4.1,4054.75,0,0,0,0
32.03,1.27,-27.81,115.02,28.1,4119.75,0,0,0,0
-7.97,-2.73,-1.81,0.02,-51.9,4071.75,0,0,0,0
-7.97,-1.73,0.19,38.02,-70.9,4045.75,0.0,0.0,-1.7,0.0
-0.97,0.27,1.19,2.02,-75.9,4075.75,0,0,0,0
3.03,0.27,-0.81,26.02,-80.9,4082.75,0,0,0,0
4.03,-0.73,0.19,42.02,-45.9,4111.75,0,0,0,0
11.03,1.27,0.19,7.02,-16.9,4129.75,0,0,0,0
-1.97,0.27,0.19,-15.98,-11.9,4055.75,0,0,0,0
18.03,2.27,0.19,3.02,-27.9,4134.75,0,0,0,0
-18.97,-2.73,2.19,12.02,-56.9,3998.75,0.0,0.0,-1.7,0.0
3.03,-0.73,-0.81,30.02,-1.9,4090.75,0,0,0,0
-0.97,-1.73,0.19,23.02,-20.9,4075.75,0,0,0,0
0.03,0.27,1.19,18.02,-51.9,4119.75,0,0,0,0
10.03,0.27,0.19,35.02,-25.9,4162.75,0,0,0,0
-2.97,1.27,0.19,8.02,-58.9,4103.75,0,0,0,0
3.03,0.27,1.19,-0.98,-58.9,4087.75,0,0,0,0
0.03,-0.73,-0.81,51.02,-74.9,4076.75,0,0,0,0
-4.97,0.27,0.19,29.02,-62.9,4076.75,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-2.97,-1.73,0.19,51.02,-39.9,4058.75,0,0,0,0
-0.97,-0.73,0.19,11.02,-48.9,4069.75,0,0,0,0
3.03,-1.73,0.19,52.02,-36.9,4081.75,0,0,0,0
-1.97,0.27,0.19,21.02,-41.9,4056.75,0,0,0,0
-0.97,0.27,1.19,9.02,-55.9,4068.75,0,0,0,0
3.03,-1.73,0.19,53.02,-28.9,4083.75,0,0,0,0
2.03,0.27,0.19,-5.98,-23.9,4082.75,0.0,0.0,-1.7,0.0
1.03,-0.73,1.19,42.02,-48.9,4102.75,0,0,0,0
1.03,0.27,0.19,53.02,-32.9,4097.75,0,0,0,0
2.03,0.27,0.19,11.02,-11.9,4076.75,0,0,0,0
1.03,-1.73,0.19,31.02,-19.9,4075.75,0,0,0,0
1.03,0.27,0.19,34.02,-24.9,4066.75,0,0,0,0
-4.97,-1.73,0.19,-17.98,-37.9,4081.75,0,0,0,0
-0.97,0.27,0.19,66.02,-75.9,4088.75,0,0,0,0
0.03,0.27,0.19,27.02,-56.9,4061.75,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-4.97,-0.73,0.19,-5.98,-35.9,4051.75,0,0,0,0
2.03,-0.73,0.19,30.02,-35.9,4100.75,0,0,0,0
-0.97,-0.73,0.19,47.02,-27.9,4087.75,0,0,0,0
0.03,0.27,0.19,21.02,-15.9,4114.75,0,0,0,0
-0.97,-0.73,0.19,47.02,-12.9,4093.75,0,0,0,0
-1.97,-0.73,1.19,32.02,-43.9,4087.75,0,0,0,0
