pitch,roll,yaw,accelX,accelY,accelZ,latitude,longitude,altitude,GPS_fix
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
282.74,468.63,-242.22,5155.8,-1325.74,3055.93,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-1017.26,-660.37,-572.22,5973.8,-1845.74,2860.93,0,0,0,0
-2614.26,-957.37,-1004.22,5035.8,-604.74,4588.93,0,0,0,0
-2140.26,-1023.37,-1050.22,4255.8,1456.26,6138.93,0,0,0,0
-391.26,-564.37,-438.22,3720.8,1817.26,7211.93,0,0,0,0
-188.26,-1007.37,-240.22,3727.8,2227.26,7679.93,0,0,0,0
-257.26,-662.37,-207.22,3533.8,1986.26,7846.93,0,0,0,0
1196.74,201.63,-38.22,4004.8,1328.26,7362.93,0.0,0.0,-1.7,0.0
4097.74,35.63,1359.78,5531.8,478.26,3991.93,0,0,0,0
5918.74,211.63,1515.78,6411.8,-5663.74,3382.93,0,0,0,0
2954.74,438.63,135.78,6658.8,-11662.74,5409.93,0,0,0,0
1683.74,738.63,-585.22,7003.8,-12410.74,9168.93,0,0,0,0
1141.74,2145.63,-562.22,7075.8,-12499.74,9525.93,0,0,0,0
2806.74,1687.63,373.78,7371.8,-11529.74,12736.93,0,0,0,0
2359.74,658.63,2534.78,4860.8,-10122.74,15900.93,0.0,0.0,-1.7,0.0
710.74,606.63,1504.78,2398.8,-10055.74,16815.93,0,0,0,0
1004.74,1393.63,947.78,992.8,-9787.74,17559.93,0,0,0,0
-37.26,924.63,-62.22,-1411.2,-8895.74,15834.93,0,0,0,0
-229.26,1805.63,5.78,-3225.2,-9551.74,14422.93,0,0,0,0
-224.26,944.63,-312.22,-4647.2,-9828.74,12968.93,0,0,0,0
-15.26,-1094.37,-381.22,-4637.2,-9522.74,12322.93,0,0,0,0
725.74,-1961.37,474.78,-4193.2,-9002.74,14110.93,0,0,0,0
-1184.26,-3372.37,-517.22,-1673.2,-8308.74,16004.93,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-2298.26,-2483.37,-1840.22,2712.8,-12453.74,14440.93,0,0,0,0
-834.26,-2685.37,-1307.22,5293.8,-13355.74,12010.93,0,0,0,0
-153.26,-1375.37,-2320.22,7620.8,-12017.74,10753.93,0,0,0,0
-41.26,-1021.37,-1594.22,9580.8,-9505.74,10352.93,0,0,0,0
-72.26,139.63,282.78,9370.8,-9541.74,10217.93,0,0,0,0
95.74,247.63,199.78,9431.8,-10191.74,11022.93,0,0,0,0
394.74,1104.63,1443.78,7876.8,-11232.74,12186.93,0,0,0,0
455.74,1886.63,1203.78,5509.8,-11775.74,14068.93,0.0,0.0,-1.7,0.0
-851.26,300.63,-1162.22,3096.8,-12509.74,15908.93,0,0,0,0
-96.26,-336.37,-331.22,2176.8,-11317.74,16293.93,0,0,0,0
-251.26,-1101.37,-4.22,3642.8,-12060.74,14670.93,0,0,0,0
