pitch,roll,yaw,accelX,accelY,accelZ,latitude,longitude,altitude,GPS_fix
0,0,0,0,0,0,0,0,0,0
0.36,-1.23,-0.69,-20.7,-726.31,4026.64,0,0,0,0
0.36,-1.23,-0.69,-10.7,-711.31,4029.64,42.2806737,-71.1379731,9.2,1.0
0.36,-0.23,0.31,-13.7,-714.31,4044.64,0,0,0,0
0.36,-0.23,0.31,-35.7,-715.31,4029.64,0,0,0,0
1.36,-0.23,-0.69,-16.7,-716.31,3999.64,0,0,0,0
0.36,-0.23,-0.69,-13.7,-700.31,4029.64,0,0,0,0
-0.64,-0.23,-0.69,-22.7,-725.31,4048.64,0,0,0,0
0.36,-1.23,0.31,-18.7,-719.31,4033.64,0,0,0,0
0.36,-0.23,-0.69,6.3,-700.31,4056.64,42.2806716,-71.1379666,9.3,1.0
0.36,-0.23,-0.69,-14.7,-704.31,4016.64,0,0,0,0
-0.64,-1.23,-0.69,-12.7,-727.31,4038.64,0,0,0,0
1.36,-0.23,0.31,-38.7,-698.31,4013.64,0,0,0,0
0.36,-0.23,0.31,-12.7,-720.31,4031.64,0,0,0,0
0.36,-0.23,0.31,-29.7,-699.31,4016.64,0,0,0,0
0.36,-0.23,-0.69,-5.7,-711.31,4034.64,0,0,0,0
0.36,-0.23,-0.69,-4.7,-727.31,4037.64,42.2806702,-71.1379538,9.4,1.0
-0.64,-0.23,-0.69,-19.7,-704.31,4035.64,0,0,0,0
0.36,-0.23,0.31,-24.7,-705.31,4028.64,0,0,0,0
0.36,-0.23,0.31,-25.7,-697.31,4040.64,0,0,0,0
1.36,-0.23,-0.69,-20.7,-703.31,4033.64,42.2806697,-71.1379513,9.5,1.0
0.36,-0.23,-0.69,-4.7,-726.31,4028.64,0,0,0,0
0.36,-0.23,0.31,-14.7,-718.31,4052.64,0,0,0,0
1.36,-0.23,-0.69,-1.7,-693.31,4025.64,42.2806693,-71.1379487,9.5,1.0
-0.64,0.77,-0.69,-15.7,-703.31,4027.64,0,0,0,0
-0.64,-1.23,0.31,-7.7,-727.31,4037.64,0,0,0,0
1.36,-1.23,-0.69,-32.7,-715.31,4013.64,0,0,0,0
0.36,-1.23,0.31,-22.7,-713.31,4026.64,42.2806688,-71.1379409,9.7,1.0
1.36,-1.23,0.31,-16.7,-704.31,4025.64,0,0,0,0
0.36,-0.23,-0.69,-25.7,-691.31,4033.64,0,0,0,0
0.36,0.77,-0.69,-23.7,-709.31,4024.64,0,0,0,0
0.36,-1.23,-0.69,-12.7,-713.31,4025.64,0,0,0,0
0.36,0.77,-0.69,-1.7,-729.31,4022.64,0,0,0,0
0.36,-1.23,0.31,-18.7,-700.31,4041.64,0,0,0,0
1.36,-1.23,-0.69,-2.7,-698.31,4057.64,42.2806672,-71.1379368,9.7,1.0
1.36,-0.23,-0.69,-28.7,-694.31,4036.64,0,0,0,0
0.36,-0.23,0.31,-23.7,-716.31,4037.64,0,0,0,0
0.36,-0.23,-0.69,-23.7,-709.31,4036.64,0,0,0,0
0.36,-0.23,-0.69,-17.7,-715.31,4029.64,0,0,0,0
1.36,-1.23,-0.69,-23.7,-700.31,4042.64,0,0,0,0
0.36,-0.23,0.31,-15.7,-724.31,4030.64,0,0,0,0
0.36,-1.23,-0.69,-30.7,-721.31,4017.64,42.2806646,-71.1379247,9.8,1.0
0.36,-1.23,0.31,-2.7,-710.31,4023.64,0,0,0,0
1.36,-0.23,-0.69,-16.7,-706.31,4034.64,0,0,0,0
0.36,-0.23,-0.69,-11.7,-715.31,4028.64,0,0,0,0
0.36,-0.23,-0.69,-18.7,-715.31,4058.64,42.2806641,-71.137925,9.9,1.0
0.36,-0.23,-0.69,-16.7,-716.31,4058.64,0,0,0,0
0.36,-0.23,-0.69,-6.7,-705.31,4045.64,0,0,0,0
0.36,-0.23,0.31,-13.7,-706.31,4060.64,42.2806646,-71.1379254,9.8,1.0
1.36,2.77,-0.69,-6.7,-691.31,4016.64,0,0,0,0
