pitch,roll,yaw,accelX,accelY,accelZ,latitude,longitude,altitude,GPS_fix
0,0,0,0,0,0,0,0,0,0
1.36,-1.23,0.31,-469.7,-664.31,4057.64,42.2805747,-71.1381622,7.2,1.0
0.36,-0.23,0.31,-458.7,-660.31,4056.64,0,0,0,0
0.36,-1.23,0.31,-463.7,-664.31,4073.64,0,0,0,0
0.36,-1.23,0.31,-469.7,-658.31,4065.64,0,0,0,0
0.36,-0.23,-0.69,-455.7,-649.31,4117.64,42.2805737,-71.1381618,7.2,1.0
1.36,-1.23,0.31,-483.7,-662.31,4087.64,0,0,0,0
1.36,-0.23,0.31,-482.7,-653.31,4085.64,0,0,0,0
0.36,-1.23,0.31,-470.7,-656.31,4079.64,42.2805741,-71.1381614,7.2,1.0
-0.64,-0.23,0.31,-478.7,-654.31,4093.64,0,0,0,0
0.36,-0.23,0.31,-473.7,-676.31,4059.64,0,0,0,0
1.36,-1.23,0.31,-464.7,-653.31,4068.64,0,0,0,0
0.36,-0.23,0.31,-468.7,-657.31,4087.64,42.2805757,-71.1381641,7.2,1.0
-0.64,-0.23,0.31,-459.7,-652.31,4069.64,0,0,0,0
0.36,-1.23,0.31,-453.7,-645.31,4071.64,0,0,0,0
0.36,-0.23,-0.69,-473.7,-661.31,4079.64,0,0,0,0
0.36,-1.23,0.31,-474.7,-655.31,4067.64,0,0,0,0
-0.64,-0.23,0.31,-477.7,-658.31,4064.64,0,0,0,0
1.36,-1.23,0.31,-472.7,-665.31,4068.64,0,0,0,0
0.36,-1.23,0.31,-484.7,-660.31,4073.64,42.2805751,-71.1381654,7.2,1.0
0.36,-1.23,0.31,-459.7,-658.31,4096.64,0,0,0,0
0.36,-1.23,-0.69,-465.7,-656.31,4067.64,0,0,0,0
2.36,-1.23,0.31,-456.7,-637.31,4071.64,0,0,0,0
-1.64,-0.23,0.31,-457.7,-671.31,4098.64,0,0,0,0
0.36,-0.23,0.31,-468.7,-649.31,4046.64,0,0,0,0
-0.64,-2.23,-0.69,-467.7,-687.31,4069.64,0,0,0,0
-0.64,1.77,1.31,-480.7,-625.31,4085.64,42.2805732,-71.1381636,7.3,1.0
-0.64,-1.23,0.31,-465.7,-657.31,4058.64,0,0,0,0
0.36,-0.23,0.31,-459.7,-679.31,4098.64,0,0,0,0
1.36,-1.23,-0.69,-469.7,-652.31,4079.64,0,0,0,0
1.36,-1.23,0.31,-469.7,-645.31,4065.64,42.2805752,-71.1381644,7.2,1.0
0.36,-0.23,0.31,-477.7,-656.31,4072.64,0,0,0,0
1.36,-1.23,1.31,-458.7,-646.31,4094.64,0,0,0,0
0.36,-1.23,0.31,-462.7,-656.31,4072.64,0,0,0,0
-0.64,-0.23,-0.69,-474.7,-659.31,4049.64,0,0,0,0
0.36,-1.23,-0.69,-473.7,-654.31,4069.64,0,0,0,0
0.36,-0.23,0.31,-467.7,-655.31,4071.64,0,0,0,0
0.36,-0.23,0.31,-480.7,-673.31,4074.64,42.2805764,-71.138168,7.2,1.0
0.36,-1.23,0.31,-470.7,-676.31,4095.64,0,0,0,0
0.36,-1.23,0.31,-489.7,-662.31,4075.64,0,0,0,0
0.36,-0.23,0.31,-472.7,-662.31,4076.64,42.2805771,-71.1381708,7.2,1.0
0.36,-0.23,0.31,-467.7,-640.31,4086.64,0,0,0,0
1.36,-1.23,0.31,-465.7,-643.31,4052.64,0,0,0,0
0.36,-0.23,-0.69,-480.7,-668.31,4089.64,0,0,0,0
1.36,-1.23,0.31,-457.7,-666.31,4056.64,42.2805778,-71.1381717,7.2,1.0
0.36,-0.23,0.31,-471.7,-667.31,4099.64,0,0,0,0
0.36,-1.23,0.31,-472.7,-659.31,4065.64,0,0,0,0
1.36,-1.23,-0.69,-471.7,-668.31,4060.64,0,0,0,0
-0.64,-1.23,0.31,-458.7,-654.31,4071.64,42.2805786,-71.1381728,7.2,1.0
2.36,-0.23,1.31,-487.7,-645.31,4053.64,0,0,0,0
